product_id,product_name,our_price,competitor_name,competitor_price,last_updated
P001,Gaming Laptop XR5,1299.99,TechGiant,1199.99,2025-08-01
P002,Wireless Headphones Pro,149.99,AudioKing,159.99,2025-08-01
P003,4K Smart TV 55",699.99,ElectroMart,649.99,2025-08-02
P004,Smartphone Galaxy X,899.99,PhoneWorld,949.99,2025-08-02
P005,Mechanical Keyboard RGB,129.99,GamersChoice,129.99,2025-08-03
P006,Wireless Mouse Ultra,59.99,TechGiant,49.99,2025-08-03
P007,External SSD 1TB,149.99,DataStore,139.99,2025-08-04
P008,Gaming Monitor 27",349.99,ScreenMasters,379.99,2025-08-04
P009,Bluetooth Speaker,79.99,AudioKing,69.99,2025-08-05
P010,Fitness Tracker Pro,129.99,WearTech,129.99,2025-08-05
P011,Tablet 10-inch,399.99,TabletWorld,389.99,2025-08-06
P012,Digital Camera DSLR,599.99,PhotoPro,649.99,2025-08-06
P013,Wireless Earbuds,89.99,AudioKing,79.99,2025-08-07
P014,Smart Watch Series 5,249.99,WearTech,229.99,2025-08-07
P015,Gaming Console NextGen,499.99,GamersChoice,489.99,2025-08-08
P016,Ultrabook Pro 13",1099.99,LaptopWorld,1049.99,2025-08-08
P017,Wireless Charger Pad,39.99,TechGiant,35.99,2025-08-09
P018,Smart Speaker Assistant,79.99,SmartHome,89.99,2025-08-09
P019,VR Headset Pro,299.99,VRZone,279.99,2025-08-10
P020,Action Camera 4K,199.99,PhotoPro,189.99,2025-08-10
P021,Drone Explorer X,399.99,SkyTech,419.99,2025-08-10
P022,Portable Power Bank 20000mAh,59.99,PowerElectronics,49.99,2025-08-11
P023,WiFi Mesh System (3-pack),249.99,NetworkPro,239.99,2025-08-11
P024,Smart Doorbell Camera,149.99,SmartHome,139.99,2025-08-11
P025,Robot Vacuum Cleaner,299.99,HomeAutomation,319.99,2025-08-11
P026,Air Purifier Premium,199.99,CleanAir,189.99,2025-08-12
P027,Coffee Maker Deluxe,129.99,KitchenMaster,119.99,2025-08-12
P028,Bluetooth Turntable,159.99,AudioKing,149.99,2025-08-12
P029,Wireless Keyboard Slim,69.99,OfficeSupplies,79.99,2025-08-12
P030,Portable Bluetooth Printer,99.99,PrinterPro,109.99,2025-08-12
